snapshot,merowe_dongola,merowe_atbara,merowe_khartoum,atbara_khartoum,atbara_portsudan,khartoum_kosti,khartoum_medani,medani_sennar,kosti_sennar,sennar_roseires,sennar_gedaref,gedaref_kassala,kosti_elobeid
2024-08-02 04:00:00,24.41484184554143,-138.89914843328015,576.6222627683121,-450.0,167.59562042929943,-0.0,-0.0,-67.53187347643315,-22.7259732296975,12.893917295859694,-171.62512166297762,84.41484184554143,37.986678830493645
2024-08-02 05:00:00,24.44163602554991,-138.78929229524533,576.6624540383249,-450.0,167.6599264613198,-0.0,-0.0,-67.55330882043994,-22.772863044712352,50.66498161532995,-216.98862590347719,-7.8,37.99873621149746
2024-08-02 06:00:00,24.525182922006863,-138.44675001977183,576.7877743830103,-450.0,167.8604390128165,-0.0,-0.0,-67.62014633760549,-22.91907011351202,50.715109753204125,-217.32699083412783,-0.0,38.03633231490309
2024-08-02 07:00:00,24.752809038156258,-137.5134829435593,577.1292135572344,-450.0,168.40674169157504,-0.0,-0.0,-67.80224723052501,-23.31741581677347,11.233707578693668,-178.6308987603328,76.95280903815626,38.13876406717032
2024-08-02 08:00:00,25.293201304178623,-135.29787465286762,577.939801956268,-450.0,169.7036831300287,-0.0,-0.0,-68.2345610433429,-24.263102282312595,-111.76154449941626,-50.0,-0.0,38.38194058688038
2024-08-02 09:00:00,26.406628534842383,-130.73282300714618,579.6099428022636,-450.0,172.37590848362174,-0.0,-0.0,-69.12530282787391,-26.211599935974178,-228.15602287909456,62.55315443388831,78.60662853484239,38.88298284067908
2024-08-02 10:00:00,28.38579055804331,-122.61825871202245,582.578685837065,-450.0,177.12589733930395,-0.0,-0.0,-70.70863244643465,-29.675133476575795,-226.968525665174,47.03754823992459,80.58579055804331,39.77360575111949
2024-08-02 11:00:00,31.39204761612477,-114.63351905258787,587.0880714241871,-450.0,180.0,-0.0,-0.0,-73.11363809289982,-34.936083328218345,54.83522856967486,-245.13779284530534,-0.0,41.12642142725615
2024-08-02 12:00:00,35.23099632488497,-108.10730624769553,592.8464944873274,-450.0,180.0,-0.0,-0.0,-76.18479705990796,-41.654243568548694,53.95306267914687,-250.0,-1.4210854715202004e-14,42.85394834619824
2024-08-02 13:00:00,39.229709817187626,-101.30949331078102,598.8445647257814,-450.0,180.0,-0.0,-0.0,-79.3837678537501,-48.65199218007836,40.15750113070266,-250.0,-0.0,44.65336941773443
2024-08-02 14:00:00,42.42780491345313,-95.87273164712968,603.6417073701797,-450.0,180.0,-0.0,-0.0,-37.80487984268225,-8.156146387489088,61.45668294807188,-199.60273360035103,-0.0,-0.0
2024-08-02 15:00:00,44.16905932950836,-92.91259913983583,606.2535889942625,-450.0,180.0,-0.0,-0.0,-0.0,125.0,-54.49728942434464,186.99728942434464,96.36905932950836,-0.0
2024-08-02 16:00:00,44.86948402560314,-91.72187715647465,607.3042260384047,-450.0,180.0,-0.0,-0.0,-0.0,125.0,-63.643287460167386,188.6432874601674,97.06948402560315,-0.0
2024-08-02 17:00:00,46.32805539291627,-89.24230583204235,609.4920830893744,-450.0,180.0,-0.0,-0.0,-0.0,125.0,-0.0,125.0,31.45712521956304,-0.0
2024-08-02 18:00:00,50.751215557275245,-81.72293355263207,616.1268233359128,-450.0,180.0,-0.0,-0.0,-88.6009724458202,-68.81462722523167,-132.05705023219645,-117.53464344040316,102.95121555727525,49.83804700077386
2024-08-02 19:00:00,58.45082406640532,-68.63359908711095,627.676236099608,-450.0,180.0,-0.0,-0.0,-94.76065925312426,-82.28894211620933,-208.9295055601568,-74.72583746894158,118.45082406640532,53.302870829882394
2024-08-02 20:00:00,66.15017427177315,-55.54470373798563,639.2252614076597,-450.0,180.0,-0.0,-0.0,-0.0,125.0,-0.0,125.0,4.697264733106238,-0.0
2024-08-02 21:00:00,68.6091110559689,-51.3645112048529,642.9136665839533,-450.0,180.0,-0.0,-0.0,-102.8872888447751,-100.06594434794556,-202.83453336641867,-108.36689977667399,88.01080029776801,57.874099975186
2024-08-02 22:00:00,63.05764588578951,-60.80200199415782,634.5864688286842,-450.0,180.0,-0.0,-0.0,-98.4461167086316,-90.35088030013165,-42.04887830597383,-250.0,-0.0,55.37594064860528
2024-08-02 23:00:00,51.81221620419386,-79.91923245287046,617.7183243062908,-450.0,180.0,-0.0,-0.0,-0.0,125.0,-0.0,125.0,111.81221620419386,-0.0
2024-08-03 00:00:00,24.404989375674305,-138.93954355973534,576.6074840635115,-450.0,167.57197450161834,-0.0,-0.0,-67.52399150053945,-22.708731407430037,-229.35700637459541,63.15979302851906,84.4049893756743,37.98224521905344
2024-08-03 01:00:00,24.405065415516717,-138.93923179638142,576.6075981232751,-450.0,167.57215699724014,-0.0,-0.0,-67.52405233241338,-22.708864477154265,-116.19747568353272,-49.999999999999986,-0.0,37.98227943698252
2024-08-03 02:00:00,24.40546580495827,-138.9375901996711,576.6081987074374,-450.0,167.57311793189984,-0.0,-0.0,-67.52437264396661,-22.70956515867698,-229.35672051702505,70.65786348991901,76.60546580495827,37.982459612231224
2024-08-03 03:00:00,24.40731823109033,-138.92999525252964,576.6109773466355,-450.0,167.5775637546168,-0.0,-0.0,-67.52585458487226,-22.712806904408076,-229.3556090613458,63.15036116408415,84.40731823109033,37.98329320399065
2024-08-03 04:00:00,24.41484184554143,-138.89914843328015,576.6222627683121,-450.0,167.59562042929943,-0.0,-0.0,-0.0,124.99999999999999,-15.87487833702238,148.37487833702238,84.41484184554143,-0.0
2024-08-03 05:00:00,24.44163602554991,-138.78929229524533,576.6624540383249,-450.0,167.6599264613198,-0.0,-0.0,-67.55330882043994,-22.772863044712352,-108.52364428814722,-57.8,-7.8,37.99873621149746
2024-08-03 06:00:00,24.525182922006863,-138.44675001977183,576.7877743830103,-450.0,167.8604390128165,-0.0,-0.0,-67.62014633760549,-22.91907011351202,-109.1118810809237,-50.0,-0.0,38.03633231490309
