snapshot,merowe_dongola,merowe_atbara,merowe_khartoum,atbara_khartoum,atbara_portsudan,khartoum_kosti,khartoum_medani,medani_sennar,kosti_sennar,sennar_roseires,sennar_gedaref,gedaref_kassala,kosti_elobeid
2024-08-01 22:00:00,125.0,350.0,145.96336787064587,44.33196081871938,90.0,-0.0,-0.0,-62.13438876850222,-89.92261819744988,-150.0,-108.73420417957126,90.0,50.0
2024-08-01 23:00:00,115.27032598370504,350.0,108.86504314785611,64.04044582770143,90.0,-0.0,-0.0,-92.21626078696403,-74.85142377881655,-150.0,-120.81097795111512,90.0,50.0
2024-08-02 00:00:00,84.4049893756743,350.0,10.09596600215778,116.51151806135368,90.0,-0.0,-0.0,-67.52399150053945,-22.708731407430037,-33.69721334607635,-125.0,84.4049893756743,37.98224521905344
2024-08-02 01:00:00,84.40506541551672,10.096209329653504,350.0,-223.39240187672493,90.0,-0.0,-0.0,-67.52405233241338,-22.708864477154265,-33.6974756835327,-125.0,-0.0,37.98227943698252
2024-08-02 02:00:00,84.40546580495827,350.0,10.097490575866459,116.51070813157094,90.0,-0.0,-0.0,-67.52437264396661,-22.70956515867698,-150.0,-16.198857027106044,84.40546580495827,37.982459612231224
2024-08-02 03:00:00,84.40731823109033,350.0,10.103418339489068,116.50755900714643,90.0,-0.0,-0.0,-67.52585458487226,-22.712806904408076,-150.0,-8.70524789726165,84.40731823109033,37.98329320399065
2024-08-02 04:00:00,84.41484184554143,350.0,10.127493905732578,116.49476886257958,90.0,-0.0,-0.0,-67.53187347643315,-22.7259732296975,-150.0,-8.731204367117925,76.61484184554143,37.986678830493645
2024-08-02 05:00:00,84.44163602554991,10.21323528175975,350.0,-223.33754596167512,90.0,-0.0,-0.0,-67.55330882043994,-22.772863044712352,-41.32364428814722,-125.0,84.44163602554991,37.99873621149746
2024-08-02 06:00:00,84.52518292200686,10.480585350421961,350.0,-223.2122256169897,90.0,-0.0,-0.0,-67.62014633760549,-22.91907011351202,-116.6118810809237,-50.0,-0.0,38.03633231490309
2024-08-02 07:00:00,84.75280903815626,350.0,11.208988922100033,115.92022463513436,90.0,-0.0,-0.0,-67.80224723052501,-23.31741581677347,-42.39719118163914,-125.0,84.75280903815626,38.13876406717032
2024-08-02 08:00:00,85.29320130417862,350.0,12.9382441733716,115.00155778289633,90.0,-0.0,-0.0,-68.2345610433429,-24.263102282312595,-44.26154449941627,-125.0,85.29320130417862,38.38194058688038
2024-08-02 09:00:00,86.40662853484238,16.501211311495638,350.0,-220.3900571977364,90.0,-0.0,-0.0,-69.12530282787391,-26.211599935974178,-150.0,-15.602868445206255,78.60662853484239,38.88298284067908
2024-08-02 10:00:00,88.38579055804331,350.0,22.834529785738596,109.74415605132637,90.0,-0.0,-0.0,-70.70863244643465,125.00000000000001,-146.60831614788958,125.0,80.58579055804331,-0.0
2024-08-02 11:00:00,91.39204761612477,350.0,32.45455237159925,104.6335190525879,90.0,-0.0,-0.0,-73.11363809289982,-34.936083328218345,-57.80256427563047,-125.0,90.0,41.12642142725615
2024-08-02 12:00:00,95.23099632488497,350.0,44.739188239631886,98.10730624769556,90.0,-0.0,-0.0,-76.18479705990796,-41.654243568548694,-78.54693732085313,-125.0,90.0,42.85394834619824
2024-08-02 13:00:00,99.22970981718763,57.53507141500043,350.0,-201.15543527421855,90.0,-0.0,-0.0,-79.3837678537501,125.0,59.537825890312575,-103.22833257953155,90.0,-0.0
